hour,SOC,DOC,MBC,CO2
0.0,53.74839925111488,2.7662340987655596,4.609810082996698,0.01730389565881465
5.0,55.347701517804424,2.7573828258979614,4.547339854393956,0.02036408533659078
10.0,54.62443492711464,2.6581700399502357,4.771021204075473,0.01830586326184033
15.0,54.11318943496474,3.0434983706459993,4.786054265227349,0.012683595628778736
20.0,50.79460518460854,3.022240417589924,4.356369622969234,0.011350119004890472
25.0,50.28120731484515,2.543047737832716,4.467789682840114,0.017977201745759636
30.0,49.41094134232839,2.790315625269914,4.496158874463231,0.021341728602260628
35.0,51.910358316867914,3.2467184880239373,4.6516895919928745,0.017275026456582195
40.0,51.55419340809016,2.842313119727456,4.868192546145393,0.013709568769654127
45.0,53.40294409834214,3.0888942843048968,4.676164884586189,0.012828271114044757
50.0,53.57524284252931,3.1012334895149487,4.677306208977194,0.019584416870215792
55.0,52.07171181206718,3.3488923476361925,4.540740592379009,0.020831646595636192
60.0,54.205613922542234,3.456104121255509,4.796557516656786,0.015340352551717675
65.0,55.91731739336865,2.850983487428139,4.372968399747832,0.01092205594647561
70.0,53.530350083620995,3.496520363506642,5.128945758730595,0.014021888663279873
75.0,54.09487726626615,3.323553769097966,5.208043026869698,0.02058680637601727
80.0,55.19429244618508,2.960909260138657,4.288233394363842,0.021066048427736777
85.0,54.098009943102255,3.4777734470960984,4.892386455325602,0.014766765579398364
90.0,51.95054744026891,3.13558811799835,4.734894995835334,0.0118636318628593
95.0,51.9491363640779,3.4131922159497226,4.61196823149271,0.014116576408651464
100.0,51.91527619497495,3.4105895124951333,4.784617050664297,0.020931928857809274
105.0,49.87122135186622,3.51353344696014,4.428911414786619,0.01986757740435642
110.0,53.20889366991084,3.1705293280134326,4.333404723291808,0.014136274655326589
115.0,54.06663693251683,3.281784562588887,4.374738894999791,0.011895059961719306
120.0,54.02442508286372,3.253687402202573,4.745895199963463,0.01750611195825428
125.0,54.39049832833745,3.2273711083759222,4.553857044028797,0.021846955556714634
130.0,52.23532005859408,3.5020236007361634,4.952043694255382,0.01750275756477346
135.0,52.72939354241041,3.422983440056761,4.389360070887925,0.012751890114110915
140.0,51.93367461593679,3.2307935211441707,5.069002956907429,0.013229962531988356
145.0,52.42045446471386,3.3983509199124278,4.973418624295854,0.01839543857460632
150.0,49.16537320604145,3.6105194024138463,4.862316529024363,0.02246152418749122
155.0,50.01394685658576,3.3929121546747907,5.3152400299633555,0.01850112049673121
160.0,49.60006620500839,3.0505416272393893,5.4024283709463825,0.013257616181272738
165.0,49.124209693509734,3.092888687503808,5.093310580840332,0.0136303239098795
170.0,53.74170649874113,3.414292086176619,4.722765673065248,0.01810788013890674
175.0,49.79827074401113,3.197533965400877,5.079372065517617,0.0215686767315947
180.0,49.13860971974927,3.284281183737419,4.74372685388909,0.017020767048763825
185.0,49.041297013746714,2.851216454948636,5.2428436798087485,0.011685449599591
190.0,51.363065091558525,3.1717539088617004,4.6183659604266545,0.0140226860237599
195.0,49.78237254748987,3.059228426275976,4.9506932306756655,0.0196450690645102
200.0,50.10298063922119,3.1149792900587725,4.565150314527977,0.021801264238599807
205.0,49.17925198249097,2.979188068291773,4.855735992175875,0.015279427422978241
210.0,51.46367131682098,2.8408699245852507,4.981519614020763,0.011440974825574496
215.0,50.05094815228889,2.8688175063356116,5.146023168618536,0.014664783248017024
